"pmid","doi","authors","year","articletitle","journal","volume","issue","pages","abstract","meshHeadings","chemNames","grantAgency","grantNumber","grantCountry","nctID","ptype"
"37047006","10.3390/ijms24076032","Salmerón-Bárcenas EG|Mendoza-Catalan MA|Ramírez-Bautista ÁU|Lozano-Santos RA|Torres-Rojas FI|Ávila-López PA|Zacapala-Gómez AE","2023","Identification of Mir-182-3p/FLI-1 Axis as a Key Signaling in Immune Response in Cervical Cancer: A Comprehensive Bioinformatic Analysis.","Int J Mol Sci","24","7",NA,"miRNAs modulate gene expression and play critical functions as oncomiRs or tumor suppressors. The miR-182-3p is important in chemoresistance and cancer progression in breast, lung, osteosarcoma, and ovarian cancer. However, the role of miR-182-3p in cervical cancer (CC) has not been elucidated.|To analyze the role of miR-182-3p in CC through a comprehensive bioinformatic analysis.|Gene Expression Omnibus (GEO) databases were used for the expression analysis. The mRNA targets of miR-182-3p were identified using miRDB, TargetScanHuman, and miRPathDB. The prediction of island CpG was performed using the MethPrimer program. The transcription factor binding sites in the FLI-1 promoter were identified using ConSite+, Alibaba2, and ALGGEN-PROMO. The protein-protein interaction (PPI) analysis was performed in STRING 11.5.|miR-182-3p was significantly overexpressed in CC patients and has potential as a diagnostic. We identified 330 targets of miR-182-3p including FLI-1, which downregulates its expression in CC. Additionally, the aberrant methylation of the FLI-1 promoter and Ap2a transcription factor could be involved in downregulating FLI1 expression. Finally, we found that FLI-1 is a possible key gene in the immune response in CC.|The miR-182-3p/FLI-1 axis plays a critical role in immune response in CC.","Female|Humans|Cell Line, Tumor|Cell Proliferation|Computational Biology|Gene Expression Regulation, Neoplastic|Immunity|MicroRNAs|Transcription Factors|Uterine Cervical Neoplasms","MicroRNAs|Mirn182 microRNA, human|Transcription Factors|FLII protein, human","NA","NA","NA","NA","Journal Article"
"37033395",NA,"Zhang SQ|Zhang J|Yu Y|Yu MM|Wei J|Tang YH","2023","APOBEC3B expression has prognostic significance in cervical cancer.","Int J Clin Exp Pathol","16","3","48-56","Cervical cancer is one of the leading fatal diseases in women, and the role of Apolipoprotein B mRNA editing enzyme catalytic subunit 3B (APOBEC3B) in cervical cancer is uncertain.|Four Gene Expression Omnibus (GEO) mRNA microarray datasets were analyzed to identify differentially expressed genes (DEGs) between cervical cancer and normal cervical tissues. The results were validated using a The Cancer Genome Atlas (TCGA)-cervical cancer (CESC) dataset. Expression profiles and patients' clinical data were used to investigate the relationship between APOBEC3B expression and cervical cancer survival. APOBEC3B co-expressed genes were subjected to enrichment analyses, and correlations between APOBEC3B expression and immunologic infiltrates were investigated using Tumor Immune Estimation Resource (TIMER). We generated receiver operating characteristic curve (ROC) curves to evaluate the performance of APOBEC3B expression in predicting cervical cancer prognosis.|Fourteen overlapping DEGs were obtained, and APOBEC3B was chosen as a candidate gene. TCGA data further confirmed that APOBEC3B was significantly increased in cervical cancer, relative to normal adjacent tissues, and this expression was associated with poor clinical outcome. Results from quantitative real time polymerase chain reaction (RT-qPCR) and immunohistochemical staining of cervical carcinoma tissues supported these findings. Enrichment analysis showed that APOBEC3B co-expressed genes were mainly enriched in cell cycle, DNA replication and chromosomal region. Moreover, APOBEC3B expression was significantly associated with T stage, M stage, primary therapy outcome and poor clinical prognosis in cervical cancer. Similarly, APOBEC3B was closely correlated with gene markers of diverse immune cells. APOBEC3B expression was an independent indicator of cervical cancer prognosis, according to univariate Cox and ROC analyses.|High APOBEC3B expression is strongly related to a poor prognosis in cervical cancer patients.","NA","NA","NA","NA","NA","NA","Journal Article"
"36999051","10.3389/fgene.2023.1142938","Hao Y|Guy MM|Liu Q|Li R|Mao Z|Jiang N|Wang B|Cui B|Zhang W","2023","Construction of a prognostic model based on eight ubiquitination-related genes via machine learning and potential therapeutics analysis for cervical cancer.","Front Genet","14",NA,"1142938","Introduction: Ubiquitination is involved in many biological processes and its predictive value for prognosis in cervical cancer is still unclear. Methods: To further explore the predictive value of the ubiquitination-related genes we obtained URGs from the Ubiquitin and Ubiquitin-like Conjugation Database, analyzed datasets from The Cancer Genome Atlas and Gene Expression Omnibus databases, and then selected differentially expressed ubiquitination-related genes between normal and cancer tissues. Then, DURGs significantly associated with overall survival were selected through univariate Cox regression. Machine learning was further used to select the DURGs. Then, we constructed and validated a reliable prognostic gene signature by multivariate analysis. In addition, we predicted the substrate proteins of the signature genes and did a functional analysis to further understand the molecular biology mechanisms. The study provided new guidelines for evaluating cervical cancer prognosis and also suggested new directions for drug development. Results: By analyzing 1,390 URGs in GEO and TCGA databases, we obtained 175 DURGs. Our results showed 19 DURGs were related to prognosis. Finally, eight DURGs were identified via machine learning to construct the first ubiquitination prognostic gene signature. Patients were stratified into high-risk and low-risk groups and the prognosis was worse in the high-risk group. In addition, these gene protein levels were mostly consistent with their transcript level. According to the functional analysis of substrate proteins, the signature genes may be involved in cancer development through the transcription factor activity and the classical P53 pathway ubiquitination-related signaling pathways. Additionally, 71 small molecular compounds were identified as potential drugs. Conclusion: We systematically studied the influence of ubiquitination-related genes on prognosis in cervical cancer, established a prognostic model through a machine learning algorithm, and verified it. Also, our study provides a new treatment strategy for cervical cancer.","NA","NA","NA","NA","NA","NA","Journal Article"
"36968582","10.3389/fgene.2023.1092276","Chen G|Hong X|He W|Ou L|Chen B|Zhong W|Lin Y|Luo X","2023","The construction and analysis of tricarboxylic acid cycle related prognostic model for cervical cancer.","Front Genet","14",NA,"1092276","Introduction: Cervical cancer (CC) is the fourth most common malignant tumor in term of in incidence and mortality among women worldwide. The tricarboxylic acid (TCA) cycle is an important hub of energy metabolism, networking one-carbon metabolism, fatty acyl metabolism and glycolysis. It can be seen that the reprogramming of cell metabolism including TCA cycle plays an indispensable role in tumorigenesis and development. We aimed to identify genes related to the TCA cycle as prognostic markers in CC. Methods: Firstly, we performed the differential expressed analysis the gene expression profiles associated with TCA cycle obtained from The Cancer Genome Atlas (TCGA) database. Differential gene list was generated and cluster analysis was performed using genes with detected fold changes >1.5. Based on the subclusters of CC, we analysed the relationship between different clusters and clinical information. Next, Cox univariate and multivariate regression analysis were used to screen genes with prognostic characteristics, and risk scores were calculated according to the genes with prognostic characteristics. Additionally, we analyzed the correlation between the predictive signature and the treatment response of CC patients. Finally, we detected the expression of ench prognostic gene in clinical CC samples by quantitative polymerase chain reaction (RT-qPCR). Results: We constructed a prognostic model consist of seven TCA cycle associated gene (ACSL1, ALDOA, FOXK2, GPI, MDH1B, MDH2, and MTHFD1). Patients with CC were separated into two groups according to median risk score, and high-risk group had a worse prognosis compared to the low-risk group. High risk group had lower level of sensitivity to the conventional chemotherapy drugs including cisplatin, paclitaxel, sunitinib and docetaxel. The expression of ench prognostic signature in clinical CC samples was verified by qRT-PCR. Conclusion: There are several differentially expressed genes (DEGs) related to TCA cycle in CC. The risk score model based on these genes can effectively predict the prognosis of patients and provide tumor markers for predicting the prognosis of CC.","NA","NA","NA","NA","NA","NA","Journal Article"
"36900213","10.3390/cancers15051419","Gan Q|Mao L|Shi R|Chang L|Wang G|Cheng J|Chen R","2023","Prognostic Value and Immune Infiltration of HPV-Related Genes in the Immune Microenvironment of Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma.","Cancers (Basel)","15","5",NA,"Mounting evidence has highlighted the immune environment as a critical feature in the development of cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC). However, the relationship between the clinical characteristics of the immune environment and CESC remain unclear. Therefore, the aim of this study was to further characterize the relationship between the tumor and immune microenvironment and the clinical features of CESC using a variety of bioinformatic methods. Expression profiles (303 CESCs and three control samples) and relevant clinical data were obtained from The Cancer Genome Atlas. We divided CESC cases into different subtypes and performed a differential gene expression analysis. In addition, gene ontology (GO) and gene set enrichment analysis (GSEA) were performed to identify potential molecular mechanisms. Furthermore, data from 115 CESC patients from East Hospital were used to help identify the relationship between the protein expressions of key genes and disease-free survival using tissue microarray technology. Cases of CESC (n = 303) were divided into five subtypes (C1-C5) based on their expression profiles. A total of 69 cross-validated differentially expressed immune-related genes were identified. Subtype C4 demonstrated a downregulation of the immune profile, lower tumor immune/stroma scores, and worse prognosis. In contrast, the C1 subtype showed an upregulation of the immune profile, higher tumor immune/stroma scores, and better prognosis. A GO analysis suggested that changes in CESC were primarily enriched nuclear division, chromatin binding, and condensed chromosomes. In addition, GSEA demonstrated that cellular senescence, the p53 signaling pathway, and viral carcinogenesis are critical features of CESC. Moreover, high FOXO3 and low IGF-1 protein expression were closely correlated with decreased clinical prognosis. In summary, our findings provide novel insight into the relationship between the immune microenvironment and CESC. As such, our results may provide guidance for developing potential immunotherapeutic targets and biomarkers for CESC.","NA","NA","Foundation of the Health and Family Planning Commission of Shanghai|National Natural Science Foundation of China","201840166|82260587","","NA","Journal Article"
"36798148","10.1155/2023/4164232","Zhou S|Jin Q|Yao H|Ying J|Tian L|Jiang X|Yang Y|Jiang X|Gao W|Zhang W|Zhu Y|Cao W","2023","Pain-Related Gene Solute Carrier Family 24 Member 3 Is a Prognostic Biomarker and Correlated with Immune Infiltrates in Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma: A Study via Integrated Bioinformatics Analyses and Experimental Verification.","Comput Math Methods Med","2023",NA,"4164232","The aim of this study was to explore cervical carcinoma and screen a suitable gene as the biomarker used for prognosis evaluation as well as pain therapy. Low expression levels of solute carrier family 24 member 3 (SLC24A3) was involved in the appearance and development of numerous malignancies. Nevertheless, the prognostic value of SLC24A3 expression with cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC) patients remains uncertain. During the present study, SLC24A3 expression in CESC was retrieved from TCGA, GEO, and MSigDB databases. Based on TCGA and GEO profiles, we performed survival and difference analyses about SLC24A3 both in two GEO (GSE44001 and GSE63514) and TCGA-CESC cohorts (all p < 0.05), indicating that SLC24A3 was low expressed in tumors and associated with higher overall survival in CESC patients. Additionally, we programmed a series of analyses, including genomic profiling, enrichment analysis, immune infiltration analysis, and therapy-related analysis to identify the mechanism of the SLC24A3 in the process of cancer in CESC. Meanwhile, qRT-PCR was used to validate that the expression of SLC24A3 mRNA in Hela and SiHa cell lines was significantly lower than in PANC-1 and HUCEC cell lines. Our finding elucidated that the SLC24A3, a sodium-calcium regulator of cells, is an indispensable factor which can significantly influence the prognosis of patients with CESC and could provide novel clinical evidence to serve as a potential biological indicator for future diagnosis and pain therapy.","Female|Humans|Adenocarcinoma|Carcinoma, Squamous Cell|Computational Biology|Pain|Prognosis|Uterine Cervical Neoplasms","NA","NA","NA","NA","NA","Journal Article"
"36776306","10.3389/fonc.2023.1090779","He K|Li J|Huang X|Zhao W|Wang K|Wang T|Chen J|Wang Z|Yi J|Zhao S|Zhao L","2023","KNL1 is a prognostic and diagnostic biomarker related to immune infiltration in patients with uterine corpus endometrial carcinoma.","Front Oncol","13",NA,"1090779","The incidence and mortality of uterine corpus endometrial carcinoma (UCEC) are increasing yearly. There is currently no screening test for UCEC, and progress in its treatment is limited. It is important to identify new biomarkers for screening, diagnosing and predicting the outcomes of UCEC. A large number of previous studies have proven that KNL1 is crucial in the development of lung cancer, colorectal cancer and cervical cancer, but there is a lack of studies about the role of KNL1 in the development of UCEC.|The mRNA and protein expression data of KNL1 in The Cancer Genome Atlas (TCGA), Gene Expression Omnibus (GEO) and UALCAN databases and related clinical data were used to analyze the expression differences and clinical correlations of KNL1 in UCEC. A total of 108 clinical samples were collected, and the results of bioinformatics analysis were verified by immunohistochemistry. KNL1 and its related differentially expressed genes were used to draw a volcano map, construct a PPI protein interaction network, and perform gene ontology (GO), Kyoto Encyclopedia of Genes and Genomes (KEGG), gene set enrichment analysis (GSEA) and immune infiltration analysis to predict the function of KNL1 during UCEC progression. The prognostic data of TCGA and 108 clinical patients were used to analyze the correlation of KNL1 expression with the survival of patients, and KM survival curves were drawn. The UCEC cell lines Ishikawa and Hec-1-A were used to verify the function of KNL1.|KNL1 is significantly overexpressed in UCEC and is associated with a poor prognosis. KNL1 overexpression is closely related to cell mitosis, the cell cycle and other functions and is correlated with the International Federation of Gynecology and Obstetrics (FIGO) stage, histological grade and other characteristics of UCEC patients. Knockdown of KNL1 expression in UCEC cell lines can inhibit their proliferation, invasion, metastasis and other phenotypes.|KNL1 is a prognostic and diagnostic biomarker associated with immune evasion in patients with UCEC.","NA","NA","NA","NA","NA","NA","Journal Article"
"36750200","10.18632/aging.204459","Chen X|Xie L|Qiao K|Zhu X|Ren J|Tan Y","2023","The pan-cancer analysis identified DIAPH3 as a diagnostic biomarker of clinical cancer.","Aging (Albany NY)","15","3","689-704","This study aimed to determine prognostic biomarkers of cervical cancer by pan-cancer analysis.|Common differentially expressed genes in Gene Expression Omnibus and The Cancer Genome Atlas (TCGA) database were demonstrated using R software analysis, and these genes were enriched by the Kyoto Encyclopedia of Genes and Genomes and Gene Ontology. Genes with prognostic value were identified by least absolute contraction and selection regression, Cox regression, and survival analysis, and pan-cancer analysis was conducted using the Tumor Immune Estimation Resource database and TCGA database. Western blot, qRT-PCR, and immunohistochemistry were used to preliminarily verify its expression in cervical cancer (S1).|The prognostic marker Diaphanous Related Formin 3 (DIAPH3) was obtained from us. The enrichment analysis revealed that DIAPH3 was involved in tumor proliferation, invasion, and inflammation. The pan-cancer analysis revealed that it was highly expressed in various cancers. Immune infiltration analysis revealed that its expression was related to B cells, effector T cells, and macrophage infiltration; however, immune checkpoint correlation analysis and tumor mutation burden analysis revealed the correlation between gene expression and immunotherapy. The expression of DIAPH3 in cervical cancer was significantly different from that in normal cervical tissues.|The expression of DIAPH3 in cervical cancer was significantly increased, which may be related to the proliferation, metastasis, immune invasion, and immunotherapy of cervical cancer.","Female|Humans|Uterine Cervical Neoplasms|B-Lymphocytes|Blotting, Western|Databases, Factual|Biomarkers|Formins","Biomarkers|DIAPH3 protein, human|Formins","NA","NA","NA","NA","Journal Article|Research Support, Non-U.S. Gov't"
"36685883","10.3389/fgene.2022.1024989","Zhou Z|Yin H|Suye S|He J|Fu C","2022","Pan-cancer analysis of the prognostic and immunological role of Fanconi anemia complementation group E.","Front Genet","13",NA,"1024989","Fanconi anemia (FA) genes contribute to tumorigenesis by regulating DNA repair. Despite its importance for assembly and functionality of the FA core complex, no pan-cancer analysis of FANCE was performed. We aimed to provide a comprehensive understanding of the role of FANCE in cancers. Based on The Cancer Genome Atlas (TCGA), Cancer Cell Line Encyclopedia (CCLE), Genotype Tissue-Expression (GTEx), Human Protein Atlas (HPA), Gene Expression Omnibus (GEO), and Cancer Single-cell Atlas (CancerSEA) databases, we investigated the carcinogenicity of FANCE using various bioinformatics methods, including FANCE expression and prognosis, immune invasion, tumor mutation burden, microsatellite instability, and neoantigens. We monitored Fance mutations in mice that caused tumorigenesis. FANCE expression and activity scores were upregulated in 15 and 21 cancers. High expression of FANCE affected shorter overall survival (OS) in seven cancers and longer overall survival in three cancers. It was correlated with shorter overall survival and progression-free interval (PFI) in endometrial cancer and longer overall survival and PFI in cervical cancer. FANCE expression negatively correlated with stromal/immune scores in 21 cancers including cervical cancer, endometrial cancer, and ovarian cancer. FANCE expression negatively correlated with CD8 T cells in endometrial cancer and positively correlated with M1 macrophages in cervical cancer, possibly related to cancer prognosis. FANCE positively correlated with immune checkpoint inhibitors PD-1, PD-L1, and CTLA4 in endometrial cancer and ovarian cancer. FANCE expression positively correlated with microsatellite instability, tumor mutational burden, and neoantigens in 7, 22, and five cancers, especially in endometrial cancer, potentially increasing the effectiveness of immunotherapy. Single-cell sequencing data showed FANCE was primarily expressed in cancer cells in cervical and ovarian cancer, and in fibroblasts in endometrial cancer. Fance heterozygous mutant mice had increased tumor incidences and shorter overall survival and tumor-free survival (TFS) than Fance homozygous mutant mice and wild-type mice. Conclusively, FANCE potential to serve as a biomarker for cancer prognosis and may predict cancer immunotherapy responses. Fance heterozygous mutant resulted in increased tumorigenesis and poor prognosis in mice.","NA","NA","NA","NA","NA","NA","Journal Article"
"36589225","10.3389/fmolb.2022.983410","Huang X|Liu W|Liu C|Hu J|Wang B|Ren A|Huang X|Yuan Y|Liu J|Li M","2022","CMTM6 as a candidate risk gene for cervical cancer: Comprehensive bioinformatics study.","Front Mol Biosci","9",NA,"983410","Background: CKLF like MARVEL transmembrane domain containing 6 (CMTM6) is an important programmed cell death 1 ligand 1 regulator (PD-L1). CMTM6 was reported as an important regulator of PD-L1 by promoting PD-L1 expression in tumor cells against T cells. However, the function of CMTM6 in cervical cancer is not well characterized. In addition, the role of CMTM6 in the induction of epithelial-mesenchymal transition (EMT) in the context of cervical cancer is unknown. Methods: In this study, we evaluated the role of CMTM6, including gene expression analysis, miRNA target regulation, and methylation characteristic, using multiple bioinformatics tools based on The Cancer Genome Atlas (TCGA) database. The expression of CMTM6 in cervical cancer tissues and non-cancerous adjacent tissues was assessed using immunohistochemistry. In vitro and in vivo function experiments were performed to explore the effects of CMTM6 on growth and metastasis of cervical cancer. Results: Human cervical cancer tissues showed higher expression of CMTM6 than the adjacent non-cancerous tissues. In vitro assays showed that CMTM6 promoted cervical cancer cell invasion, migration, proliferation, and epithelial-mesenchymal transition via activation of mitogen-activated protein kinase (MAPK) c-jun N-terminal kinase (JNK)/p38 signaling pathway. We identified transcription factors (TFs), miRNAs, and immune cells that may interact with CMTM6. Conclusion: These results indicate that CMTM6 is a potential therapeutic target in the context of cervical cancer.","NA","NA","NA","NA","NA","NA","Journal Article"
"36515824","10.1007/s11033-022-08095-5","Qian Y|Li X|Qiu J|Zhang R","2023","Insulin-induced gene 2 expression is associated with cervical adenocarcinoma malignant behavior.","Mol Biol Rep","50","2","1553-1563","The incidence of cervical adenocarcinoma (CA) as a malignant tumor has increased over the past few decades due to its low detection rate and malignant biological behaviors. Insulin-induced gene 2 (INSIG2), a membrane protein of the endoplasmic reticulum (ER), plays a crucial role in cancer progression. However, there is little known about the connection between INSIG2 and CA.|The Human Protein Atlas (HPA) and the Cancer Genome Atlas (TCGA) Cervical Cancer (CESC) data were applied to study the alteration in INSIG2 expression. Biological functions were performed to test the change of malignant behavior. Bioinformatics analysis was conducted to explore the potential affection of INSIG2 in CA progression.|Our study confirmed that the high INSIG2 expression levels had a poor prognosis. INSIG2-knockdown inhibited the CA cell proliferation, migration, and invasion of CA cells while downregulating the epithelial-mesenchymal transition (EMT)-associated gene expression levels. Moreover, the enrichment analysis of DEGs showed more potential functions of INSIG2 in the CA progression.|We found that INSIG2 knockdown may play a suppressor role in the CA progression, and may provide the potential functional influence in inhibiting of CA development.","Female|Humans|Uterine Cervical Neoplasms|Cell Line, Tumor|Insulin|Intracellular Signaling Peptides and Proteins|Adenocarcinoma|Gene Expression Regulation, Neoplastic|Epithelial-Mesenchymal Transition","Insulin|Intracellular Signaling Peptides and Proteins","National Natural Science Foundation of China","81903006","","NA","Journal Article"
"36381423",NA,"Chen ZZ|Wang WP|Xue HM|Liang Y","2022","The lncRNA-miRNA-integrin alpha V ceRNA network can affect the occurrence and prognosis of gastric cancer.","Int J Clin Exp Pathol","15","10","388-402","The aim of this study was to explore the role of integrin alpha V (ITGAV) and the related long noncoding RNA-microRNA-messenger RNA competing endogenous RNA (lncRNA-miRNA-mRNA ceRNA) network in the development and prognosis of cancers, especially gastric cancer (GC), through bioinformatic analysis.|Pan-cancer and GC data were collected from the UCSC Xena website, and validation datasets were obtained from the Gene Expression Omnibus (GEO). R (version 3.6.3), GraphPad Prism 8, and SPSS 23.0 software were used to analyze data and prepare figures.|The expression of ITGAV in tumor tissues was higher than that of normal tissues in ten cancer types. A lower expression of ITGAV in five tumors (CESC, LGG, LIHC, MESO, and STAD) predicted better patient prognosis. In GC, the mRNA and protein expression of ITGAV in tumor tissues was higher than that of normal tissues. Patients with high ITGAV expression had poor prognosis and clinical characteristics, including worse grades and more advanced stages. Patients with higher ITGAV expression had higher immune and stromal scores and lower purity (P<0.05). In addition, seven miRNAs were found that were negatively correlated with ITGAV expression through the website; high expression of these miRNAs indicated a better prognosis. Using this correlation, the authors built the lncRNA-miRNA-ITGAV ceRNA network, to predict the prognosis of GC.|This study showed that ITGAV could be considered a prognostic factor for GC, and an lncRNA-miRNA-ITGAV ceRNA network was built to promote the exploration of the mechanism and prognosis of GC.","NA","NA","NA","NA","NA","NA","Journal Article"
"36353542","10.3389/fonc.2022.1002040","Zhang L|Dan Y|Ou C|Qian H|Yin Y|Tang M|He Q|Peng C|He A","2022","Identification and validation of novel biomarker TRIM8 related to cervical cancer.","Front Oncol","12",NA,"1002040","Cervical cancer, as a common gynecological disease, endangers female health. Give the lack of effective biomarkers for the diagnosis and treatment of cervical cancer, this paper aims to analyze the Gene Expression Omnibus (GEO) data sets using comprehensive bioinformatics tools, and to identify biomarkers associated with the cancer in patient samples.|The bioinformatics methods were used to extract genes related to cervical cancer from GSE39001, while the GEO2R online tool to elaborate on differentially expressed genes (DEGs) in normal and cancer samples, and to clarify related genes and functions. The results were verified by IHC, WB, CCK-8, clone formation and flow cytometry experiments.|A total of 2,859 DEGs were identified in the GEO microarray dataset. We extracted genes associated with both ubiquitination and autophagy from the key modules of weighted gene co-expression network analysis (WGCNA), and the analysis showed that TRIM8 was of great significance for the diagnosis and prognosis of cervical cancer. Besides, experimental validation showed the high TRIM8 expression in cervical cancer, as well as its involvement in the proliferation of cervical cancer cells.|We identified a biomarker (TRIM8) that may be related to cervical cancer through a series of analyses on the GEO dataset. Experimental verification confirmed the inhibition of cervical cancer cells proliferation by lowering TRIM8 expression. Therefore, TRIM8 can be adopted as a new biomarker of cervical cancer to develop new therapeutic targets.","NA","NA","NA","NA","NA","NA","Journal Article"
"36352147","10.1007/s00432-022-04465-5","Liao W|Li W|Li Y|Liu T|Wang Y|Feng D|Shen F","2023","Diagnostic, prognostic, and immunological roles of CD177 in cervical cancer.","J Cancer Res Clin Oncol","149","1","173-189","CD177, an indicator of prognosis in diverse cancers, is involved in the physiological processes of various tumor cells, and acts as an immune molecule with novel functions in cancer pathogenesis. However, the diagnostic, prognostic, and immunological role of CD177 in cervical cancer remains unclear.|Utilizing publicly available databases and integrating several bioinformatics analysis methods, we evaluated the expression level of CD177 in cervical cancer by GENT2, HPA, and GEO databases. And the experiments of western blot and immunohistochemical staining were used to test the hypothesis. The Kaplan-Meier Plotter database, Xena Shiny, and the constructed nomogram were clearly demonstrated its prognostic value for patients. Gene set enrichment analysis explored the relationship between CD177 and cervical cancer immune responses and immune cells infiltration level. In addition, we investigated the association between CD177 expression and stromal score, immune score, immune checkpoint, and drug sensitivity by TCGA RNA-seq data.|CD177 was apparently expressed at low levels in cervical cancer and predicted a poor survival rate for patients. CD177 significantly activated immune-related signaling pathways and had a positive relationship with immune cell infiltration level. The high CD177 expression group possessed the high stromal score and immune score. CD177 had potential interactions with CTLA4, CD27, BLTA, CD200R1, CD80, NRP1, TNFRSF25, TIGIT, ICOS, and TNFSF9 checkpoint markers. And CD177 expression was positively relevant with drug sensitivity for Lapatinib, Belinostat, ATRA, Gefitinib, Navitoclax, and Tamoxifen.|These findings may shed light on the vital role of CD177 in cervical cancer diagnosis, prognosis, and immunological functions, and it may be a promising predictor and potential factor for cervical cancer patients.","Female|Humans|Blotting, Western|GPI-Linked Proteins|Isoantigens|Nomograms|Prognosis|Receptors, Cell Surface|Uterine Cervical Neoplasms","CD177 protein, human|GPI-Linked Proteins|Isoantigens|Receptors, Cell Surface","The Natural Science Foundation of Hubei Province of China","2021CFB430","","NA","Journal Article"
"36281082","10.1097/MD.0000000000031299","Yuan L|Lu Z|Sun G|Cao D","2022","Identification and verification of a 4-gene signature predicting the overall survival of cervical cancer.","Medicine (Baltimore)","101","42","e31299","Cervical cancer (CC) is one of the most common gynecological malignancies, ranking fourth in both incidence and mortality in women worldwide. Early screening and treatment are of great significance in reducing the incidence and mortality of CC. Due to the complex molecular mechanisms of tumor progression, the predictive power of traditional clinical information is limited. In this study, an effective molecular model is established to assess prognosis of patients with CC and guide clinical treatment so as to improve their survival rate. Three high quality datasets (GSE138080, GSE52904, GSE67522) of expression profiling were obtained from gene expression omnibus (GEO) database. Another mRNA expression and clinicopathological data of CC were obtained from The Cancer Genome Atlas (TCGA) dataset. The bioinformatic analyses such as univariate analysis, multivariate Cox proportional-hazards model (Cox) analysis and lasso regression analysis were conducted to select survival-related differentially expressed genes (DEGs) and further establish a prognostic gene signature. Moreover, the performance of prognostic gene signature was evaluated based on Kaplan-Meier curve and receiver operating characteristic (ROC) curve. Gene set enrichment analysis (GSEA) and tumor immunity analysis were carried out to elucidate the molecular mechanisms and immune relevance. A 4-gene signature comprising procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2 (PLOD2), spondin1 (SPON1), secreted phosphoprotein 1 (SPP1), ribonuclease H2 subunit A (RNASEH2A) was established to predict overall survival (OS) of CC. The ROC curve indicated good performance of the 4-gene signature in predicting OS of CC based on the TCGA dataset. The 4-gene signature classified the patients into high-risk and low-risk groups with distinct OS rates of CC. Univariate analysis and multivariate Cox regression analysis revealed that the 4-gene signature was an independent factor affecting the prognosis of patients with CC. Our study developed a 4-gene signature capable of predicting the OS of CC. The findings may be beneficial to individualized clinical treatment and timely follow-up for patients with CC.","Humans|Female|Uterine Cervical Neoplasms|Osteopontin|Kaplan-Meier Estimate|Procollagen-Lysine, 2-Oxoglutarate 5-Dioxygenase|Prognosis|RNA, Messenger|Ribonucleases","Osteopontin|Procollagen-Lysine, 2-Oxoglutarate 5-Dioxygenase|RNA, Messenger|Ribonucleases","NA","NA","NA","NA","Journal Article"
"36249021","10.3389/fonc.2022.864889","Wei Z|Gan J|Feng X|Zhang M|Chen Z|Zhao H|Du Y","2022","APOBEC3B is overexpressed in cervical cancer and promotes the proliferation of cervical cancer cells through apoptosis, cell cycle, and p53 pathway.","Front Oncol","12",NA,"864889","APOBEC3B (A3B), a member of the APOBEC family of cytidine deaminases, has been gradually regarded as a key cancerous regulator. However, its expression and mechanism in cervical cancer (CC) have not been fully elucidated. This study was to investigate its expression pattern and potential mechanism on the cell cycle, as well as HPV oncogenes in CC.|Data from The Cancer Genome Atlas (TCGA) and Gene Expression (GEO) were used to indicate the mRNA expression pattern of A3B in cervical cancer. Western blot assay was used to detect A3B levels in SiHa and Hela cell lines. Immunohistochemistry (IHC) was used to explore A3B protein abundance and sublocation in cervical cancer as well as normal cervical tissues. Based on the Protein atlas (www.proteinatlas.org), A3B expression in the SiHa cell line is lower than in the HeLa cell line. Therefore, the SiHa cell line was used for A3B gene overexpression experiments while the HeLa cell line was used for knockdown experiments. Flow cytometry analysis was used to detect cell apoptosis. Biological function and cancer-related pathways of A3B were conducted using bioinformatics analysis.|A3B mRNA was significantly overexpressed in cervical cancer in TCGA-cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC), GSE67522, and GSE7803. A3B was more highly expressed in cervical cancers than in high-grade squamous intraepithelial lesions and normal controls. A3B expression was found to be progressively activated during cervical cancer development. IHC results showed that A3B was significantly higher in cervical cancer tissues than in normal cervical tissues. A3B plasmid-mediated overexpression experiments and A3B siRNA-mediated knockdown experiments showed that A3B significantly promotes cell proliferation, migration, cell cycle, and chemoresistance in cervical cancer cells by the p53 pathway. GO and KEGG analyses showed that A3B expression was strikingly associated with cell proliferation, apoptosis, and immune-associated pathways.|Taken together, our study implies that A3B promotes cell proliferation, migration, and cell cycle and inhibits cancer cell apoptosis through the p53-mediated signaling pathway. Moreover, A3B could also contribute to chemoresistance in cervical cancer cells. It may be a potential diagnostic biomarker and therapeutic target for chemoresistant cervical cancers.","NA","NA","NA","NA","NA","NA","Journal Article"
